instance_id_1;instance_id_2;distance;time
fully_incomplete;Euclidean(50, 00)_4;363.0;0.010862112045288086
fully_incomplete;Euclidean(75, 00)_0;169.0;0.004932403564453125
fully_incomplete;Euclidean(75, 00)_1;95.0;0.004475116729736328
fully_incomplete;Euclidean(75, 00)_2;123.0;0.009142160415649414
fully_incomplete;Euclidean(75, 00)_3;119.0;0.005344867706298828
fully_incomplete;Euclidean(75, 00)_4;187.0;0.006295204162597656
fully_incomplete;Euclidean(25, 25)_0;1111.0;0.006852626800537109
fully_incomplete;Euclidean(25, 25)_1;1013.0;0.0075130462646484375
fully_incomplete;Euclidean(25, 25)_2;1002.0;0.01587533950805664
fully_incomplete;Euclidean(25, 25)_3;1007.0;0.0056111812591552734
fully_incomplete;Euclidean(25, 25)_4;1082.0;0.020527124404907227
fully_incomplete;Euclidean(50, 50)_0;420.0;0.007837057113647461
fully_incomplete;Euclidean(50, 50)_1;474.0;0.010852813720703125
fully_incomplete;Euclidean(50, 50)_2;470.0;0.014976739883422852
fully_incomplete;Euclidean(50, 50)_3;545.0;0.014183998107910156
fully_incomplete;Euclidean(50, 50)_4;518.0;0.010844230651855469
fully_incomplete;Euclidean(75, 75)_0;77.0;0.013787984848022461
fully_incomplete;Euclidean(75, 75)_1;177.0;0.005297422409057617
fully_incomplete;Euclidean(75, 75)_2;151.0;0.009828567504882812
fully_incomplete;Euclidean(75, 75)_3;203.0;0.03502821922302246
fully_incomplete;Euclidean(75, 75)_4;77.0;0.00655364990234375
fully_incomplete;Mallows_md_0.2(00, 25)_0;1546.0;0.018337011337280273
fully_incomplete;Mallows_md_0.2(00, 25)_1;1563.0;0.012956380844116211
fully_incomplete;Mallows_md_0.2(00, 25)_2;1546.0;0.013575077056884766
fully_incomplete;Mallows_md_0.2(00, 25)_3;1554.0;0.01119089126586914
fully_incomplete;Mallows_md_0.2(00, 25)_4;1546.0;0.02065300941467285
fully_incomplete;Mallows_md_0.2(00, 50)_0;1824.0;0.009962797164916992
fully_incomplete;Mallows_md_0.2(00, 50)_1;1803.0;0.004883527755737305
fully_incomplete;Mallows_md_0.2(00, 50)_2;1791.0;0.018286705017089844
fully_incomplete;Mallows_md_0.2(00, 50)_3;1810.0;0.009240388870239258
fully_incomplete;Mallows_md_0.2(00, 50)_4;1801.0;0.00834512710571289
fully_incomplete;Mallows_md_0.2(25, 00)_0;861.0;0.006544828414916992
fully_incomplete;Mallows_md_0.2(25, 00)_1;938.0;0.026293277740478516
fully_incomplete;Mallows_md_0.2(25, 00)_2;939.0;0.013456583023071289
fully_incomplete;Mallows_md_0.2(25, 00)_3;890.0;0.021188974380493164
fully_incomplete;Mallows_md_0.2(25, 00)_4;911.0;0.019199848175048828
fully_incomplete;Mallows_md_0.2(50, 00)_0;463.0;0.030345916748046875
fully_incomplete;Mallows_md_0.2(50, 00)_1;521.0;0.016750574111938477
fully_incomplete;Mallows_md_0.2(50, 00)_2;419.0;0.03094482421875
fully_incomplete;Mallows_md_0.2(50, 00)_3;423.0;0.007230520248413086
fully_incomplete;Mallows_md_0.2(50, 00)_4;466.0;0.04928255081176758
fully_incomplete;Mallows_md_0.4(00, 25)_0;1546.0;0.008171796798706055
fully_incomplete;Mallows_md_0.4(00, 25)_1;1571.0;0.02182602882385254
fully_incomplete;Mallows_md_0.4(00, 25)_2;1565.0;0.012237071990966797
fully_incomplete;Mallows_md_0.4(00, 25)_3;1561.0;0.00989389419555664
fully_incomplete;Mallows_md_0.4(00, 25)_4;1539.0;0.02154064178466797
fully_incomplete;Mallows_md_0.4(00, 50)_0;1841.0;0.010121583938598633
fully_incomplete;Mallows_md_0.4(00, 50)_1;1805.0;0.028547048568725586
fully_incomplete;Mallows_md_0.4(00, 50)_2;1815.0;0.0073795318603515625
fully_incomplete;Mallows_md_0.4(00, 50)_3;1809.0;0.028939247131347656
fully_incomplete;Mallows_md_0.4(00, 50)_4;1814.0;0.018167734146118164
fully_incomplete;Mallows_md_0.4(25, 00)_0;856.0;0.04433846473693848
fully_incomplete;Mallows_md_0.4(25, 00)_1;933.0;0.0229341983795166
fully_incomplete;Mallows_md_0.4(25, 00)_2;903.0;0.03402972221374512
