instance_id_1;instance_id_2;distance;time
Euclidean(00, 75)_3;Mallows_md_0.6(00, 50)_2;388.0;0.00536036491394043
Euclidean(00, 75)_3;Mallows_md_0.6(00, 50)_3;346.0;0.005469083786010742
Euclidean(00, 75)_3;Mallows_md_0.6(00, 50)_4;331.0;0.014154195785522461
Euclidean(00, 75)_3;Mallows_md_0.6(25, 00)_0;1133.0;0.006494998931884766
Euclidean(00, 75)_3;Mallows_md_0.6(25, 00)_1;1200.0;0.01701974868774414
Euclidean(00, 75)_3;Mallows_md_0.6(25, 00)_2;1194.0;0.008619546890258789
Euclidean(00, 75)_3;Mallows_md_0.6(25, 00)_3;1172.0;0.013138055801391602
Euclidean(00, 75)_3;Mallows_md_0.6(25, 00)_4;1191.0;0.009481191635131836
Euclidean(00, 75)_3;Mallows_md_0.6(50, 00)_0;1670.0;0.004400014877319336
Euclidean(00, 75)_3;Mallows_md_0.6(50, 00)_1;1610.0;0.011051654815673828
Euclidean(00, 75)_3;Mallows_md_0.6(50, 00)_2;1688.0;0.00975489616394043
Euclidean(00, 75)_3;Mallows_md_0.6(50, 00)_3;1654.0;0.0071947574615478516
Euclidean(00, 75)_3;Mallows_md_0.6(50, 00)_4;1618.0;0.013194799423217773
Euclidean(00, 75)_3;Mallows_md_0.8(00, 25)_0;576.0;0.00838780403137207
Euclidean(00, 75)_3;Mallows_md_0.8(00, 25)_1;574.0;0.02318572998046875
Euclidean(00, 75)_3;Mallows_md_0.8(00, 25)_2;583.0;0.013709783554077148
Euclidean(00, 75)_3;Mallows_md_0.8(00, 25)_3;590.0;0.013867378234863281
Euclidean(00, 75)_3;Mallows_md_0.8(00, 25)_4;592.0;0.018202781677246094
Euclidean(00, 75)_3;Mallows_md_0.8(00, 50)_0;360.0;0.009066104888916016
Euclidean(00, 75)_3;Mallows_md_0.8(00, 50)_1;357.0;0.031723737716674805
Euclidean(00, 75)_3;Mallows_md_0.8(00, 50)_2;362.0;0.012106180191040039
Euclidean(00, 75)_3;Mallows_md_0.8(00, 50)_3;359.0;0.034909725189208984
Euclidean(00, 75)_3;Mallows_md_0.8(00, 50)_4;328.0;0.01077890396118164
Euclidean(00, 75)_3;Mallows_md_0.8(25, 00)_0;1160.0;0.016159772872924805
Euclidean(00, 75)_3;Mallows_md_0.8(25, 00)_1;1168.0;0.021634340286254883
Euclidean(00, 75)_3;Mallows_md_0.8(25, 00)_2;1248.0;0.015460014343261719
Euclidean(00, 75)_3;Mallows_md_0.8(25, 00)_3;1140.0;0.017226457595825195
Euclidean(00, 75)_3;Mallows_md_0.8(25, 00)_4;1210.0;0.02449774742126465
Euclidean(00, 75)_3;Mallows_md_0.8(50, 00)_0;1618.0;0.03477811813354492
Euclidean(00, 75)_3;Mallows_md_0.8(50, 00)_1;1685.0;0.04015970230102539
Euclidean(00, 75)_3;Mallows_md_0.8(50, 00)_2;1662.0;0.01846003532409668
Euclidean(00, 75)_3;Mallows_md_0.8(50, 00)_3;1696.0;0.013822555541992188
Euclidean(00, 75)_3;Mallows_md_0.8(50, 00)_4;1667.0;0.03400993347167969
Euclidean(00, 75)_3;Expectation_0.2_0;829.0;0.01598191261291504
Euclidean(00, 75)_3;Expectation_0.2_1;815.0;0.006061077117919922
Euclidean(00, 75)_3;Expectation_0.2_2;821.0;0.006468296051025391
Euclidean(00, 75)_3;Expectation_0.2_3;819.0;0.007254123687744141
Euclidean(00, 75)_3;Expectation_0.2_4;821.0;0.01589369773864746
Euclidean(00, 75)_3;Expectation_0.4_0;831.0;0.011271476745605469
Euclidean(00, 75)_3;Expectation_0.4_1;837.0;0.014622211456298828
Euclidean(00, 75)_3;Expectation_0.4_2;835.0;0.012626409530639648
Euclidean(00, 75)_3;Expectation_0.4_3;821.0;0.013742685317993164
Euclidean(00, 75)_3;Expectation_0.4_4;825.0;0.012509346008300781
Euclidean(00, 75)_3;Impartial_0;851.0;0.011504173278808594
Euclidean(00, 75)_3;Impartial_1;849.0;0.017449378967285156
Euclidean(00, 75)_3;Impartial_2;841.0;0.017800092697143555
Euclidean(00, 75)_3;Impartial_3;833.0;0.015000343322753906
Euclidean(00, 75)_3;Impartial_4;849.0;0.01977825164794922
Euclidean(00, 75)_3;Group_ic_0.25_0;821.0;0.009602069854736328
Euclidean(00, 75)_3;Group_ic_0.25_1;817.0;0.024672508239746094
Euclidean(00, 75)_3;Group_ic_0.25_2;811.0;0.040636301040649414
Euclidean(00, 75)_3;Group_ic_0.25_3;835.0;0.017937421798706055
Euclidean(00, 75)_3;Group_ic_0.25_4;823.0;0.0146636962890625
Euclidean(00, 75)_3;Group_ic_0.50_0;819.0;0.007035255432128906
Euclidean(00, 75)_3;Group_ic_0.50_1;809.0;0.007370710372924805
Euclidean(00, 75)_3;Group_ic_0.50_2;821.0;0.028643369674682617
Euclidean(00, 75)_3;Group_ic_0.50_3;823.0;0.026181936264038086
Euclidean(00, 75)_3;Group_ic_0.50_4;819.0;0.029355764389038086
Euclidean(00, 75)_3;Attributes_2D_0;829.0;0.013963699340820312
Euclidean(00, 75)_3;Attributes_2D_1;829.0;0.0054013729095458984
Euclidean(00, 75)_3;Attributes_2D_2;827.0;0.006242275238037109
Euclidean(00, 75)_3;Attributes_2D_3;831.0;0.01752448081970215
